X3_2046_B	X7_2472_B	X9_2492_B	X11_2653_B	X15_2677_B	X17_2691_B	X23_2817_B	X25_2852_B
ENSG00000116237	814	1506	1248	1318	1416	1271	3708	2175
ENSG00000116251	4457	7584	3517	4346	2780	2681	6109	5526
ENSG00000116254	2	48	9	2	14	2	2	2
ENSG00000116260	2514	4329	2437	3830	4373	1466	3191	5105
ENSG00000116266	478	839	622	500	633	503	1243	618
ENSG00000116273	435	517	353	370	322	418	755	574
ENSG00000116285	920	2154	955	471	457	429	1878	1255
ENSG00000116288	1834	2931	1434	1972	1521	1428	4153	3297
ENSG00000116299	303	403	55	3997	2770	1033	11024	5945
ENSG00000116329	0	0	0	0	31	0	6	0
ENSG00000116337	611	1033	1143	278	587	479	786	379
ENSG00000116350	1083	2021	1162	705	1015	970	2616	1245
ENSG00000116353	166	512	152	230	185	171	457	282
ENSG00000116396	55	156	136	45	147	121	130	76
ENSG00000116406	588	1266	1153	1658	2200	705	1473	863
ENSG00000116455	197	631	211	144	268	211	343	215
ENSG00000116459	942	2703	1114	1422	1349	1297	2600	1825
ENSG00000116473	450	995	692	557	791	1026	1457	635
ENSG00000116478	1288	2993	1442	1073	1250	1062	2573	1739
ENSG00000116489	2074	4746	2932	1877	2484	2608	5359	1862
ENSG00000116497	481	712	407	321	498	582	798	388
ENSG00000116514	318	737	917	382	544	951	1447	383
ENSG00000116521	734	1642	618	1372	1238	849	1480	937
ENSG00000116525	45	213	144	195	264	157	410	255
ENSG00000116539	1114	1801	1059	2152	2629	1193	3108	1368
ENSG00000116544	43	21	9	7	8	4	10	15
ENSG00000116560	3118	8429	4698	2125	4514	3879	8045	4271
ENSG00000116574	97	212	241	348	315	189	204	203
ENSG00000116580	624	1204	609	790	1249	675	1241	648
ENSG00000116584	1768	2695	1679	1778	1428	1609	2919	1030
ENSG00000116586	375	1150	296	848	845	577	1095	511
ENSG00000116604	854	1080	1251	1545	2292	1157	2842	1417
ENSG00000116641	725	755	1395	528	778	450	1112	773
ENSG00000116649	1776	2456	1337	793	621	635	1010	661
ENSG00000116652	2	3	2	0	4	0	2	0
ENSG00000116661	147	827	1133	272	68	57	106	1282
ENSG00000116663	160	286	267	223	186	271	407	217
ENSG00000116667	408	1429	250	2894	1413	574	2762	1988
ENSG00000116668	112	233	154	106	161	104	221	60
ENSG00000116670	854	1999	541	251	234	213	526	749
ENSG00000116675	26	104	68	17	73	21	19	84
ENSG00000116678	44	76	66	268	377	87	121	82
ENSG00000116679	2602	4710	3033	1044	1372	1381	1917	839
ENSG00000116685	960	1840	1331	678	670	948	1626	1031
ENSG00000116688	1059	1875	1259	1350	1263	1257	3553	1762
ENSG00000116690	1	4	4	46	86	10	17	35
ENSG00000116691	504	947	436	187	233	328	515	287
ENSG00000116698	1404	2507	1315	1417	2062	1259	2876	1413
ENSG00000116701	360	400	361	141	235	1732	453	165
ENSG00000116703	0	0	0	0	0	0	0	0
ENSG00000116704	207	250	319	355	482	370	1288	429
ENSG00000116711	28	461	266	15	66	67	94	24
ENSG00000116717	216	240	337	227	329	198	267	194
ENSG00000116721	0	0	0	0	0	0	0	0
ENSG00000116726	0	0	0	0	0	0	0	0
ENSG00000116729	72	134	145	582	676	317	307	218
ENSG00000116731	766	857	1055	1040	1045	1054	2120	821
ENSG00000116741	229	259	280	168	299	345	213	192
ENSG00000116745	0	0	2	0	1	0	0	0
ENSG00000116747	792	1618	893	651	1111	532	1338	552
ENSG00000116748	23	18	34	17	17	6	5	8
